Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Style
Splashy Gloves,4,Gloves,Rippling Serenity,2,19,16,72,14,137,1220,16,36,Cool
Splashy Gloves,4,Gloves,Rippling Serenity,3,23,19,88,18,168,2440,32,72,Cool
Splashy Gloves,4,Gloves,Rippling Serenity,4,28,23,106,21,203,3980,53,120,Cool
Splashy Gloves,4,Gloves,Rippling Serenity,5,33,28,127,25,242,5800,77,177,Cool
Cool Touch,4,Gloves,Bye-Bye Dust,0,43,9,84,13,16,0,0,0,Sweet
Cool Touch,4,Gloves,Bye-Bye Dust,1,54,0,105,0,20,410,5,12,Sweet
Cool Touch,4,Gloves,Bye-Bye Dust,2,67,14,131,21,25,1220,16,36,Sweet
Cool Touch,4,Gloves,Bye-Bye Dust,3,82,18,160,25,31,2440,32,72,Sweet
Cool Touch,4,Gloves,Bye-Bye Dust,4,99,21,194,30,37,3980,53,120,Sweet
Cool Touch,4,Gloves,Bye-Bye Dust,5,19,25,231,36,44,5800,77,177,Sweet
Monsoon Messenger,4,Gloves,Wind of Purity,0,81,39,15,15,14,0,0,0,Elegant
Monsoon Messenger,4,Gloves,Wind of Purity,1,102,49,19,19,18,410,5,12,Elegant
Monsoon Messenger,4,Gloves,Wind of Purity,2,126,61,24,24,22,1220,16,36,Elegant
Monsoon Messenger,4,Gloves,Wind of Purity,3,154,75,29,29,27,2440,32,72,Elegant
Monsoon Messenger,4,Gloves,Wind of Purity,4,187,90,35,35,33,3980,53,120,Elegant
Monsoon Messenger,4,Gloves,Wind of Purity,5,223,108,42,42,39,5800,77,177,Elegant
Sunrise Runner,3,Hair,,0,28,54,312,46,159,0,0,0,Sweet
Sunrise Runner,3,Hair,,1,35,68,390,58,199,540,7,25,Sweet
Sunrise Runner,3,Hair,,2,44,84,484,72,247,1620,21,75,Sweet
Sunrise Runner,3,Hair,,3,54,103,593,88,303,3240,43,150,Sweet
Sunrise Runner,3,Hair,,4,65,125,718,106,366,5290,70,250,Sweet
Sunrise Runner,3,Hair,,5,77,149,858,127,438,7720,102,370,Sweet
Playful Spades,3,Hair,,0,322,32,56,30,160,0,0,0,Elegant
Playful Spades,3,Hair,,1,403,40,70,38,200,540,7,25,Elegant
Playful Spades,3,Hair,,2,500,50,87,47,248,1620,21,75,Elegant
Playful Spades,3,Hair,,3,612,61,107,57,304,3240,43,150,Elegant
Playful Spades,3,Hair,,4,0,74,129,69,368,5290,70,250,Cool
Playful Spades,3,Hair,,5,886,88,154,83,440,7720,102,370,Elegant
Inky Braid,3,Hair,,0,58,360,67,50,66,0,0,0,Fresh
Inky Braid,3,Hair,,1,73,450,84,63,83,540,7,25,Fresh
Inky Braid,3,Hair,,2,90,558,104,78,103,1620,21,75,Fresh
Inky Braid,3,Hair,,3,0,684,128,95,126,3240,43,150,Fresh
Inky Braid,3,Hair,,4,134,828,155,115,152,5290,70,250,Fresh
Inky Braid,3,Hair,,5,160,990,185,138,182,7720,102,370,Fresh
Chiming Breeze,3,Hair,,0,70,61,286,95,88,0,0,0,Sweet
Chiming Breeze,3,Hair,,1,88,77,358,119,110,540,7,25,Sweet
Chiming Breeze,3,Hair,,2,109,95,444,148,137,1620,21,75,Sweet
Chiming Breeze,3,Hair,,3,133,116,544,181,168,3240,43,150,Sweet
Chiming Breeze,3,Hair,,4,161,141,658,219,203,5290,70,250,Sweet
Chiming Breeze,3,Hair,,5,193,168,787,262,242,7720,102,370,Sweet
Quick Ponytail,3,Hair,,0,52,162,34,41,310,0,0,0,Cool
Quick Ponytail,3,Hair,,1,65,203,43,52,388,540,7,25,Cool
Quick Ponytail,3,Hair,,2,81,252,53,64,481,1620,21,75,Cool
Quick Ponytail,3,Hair,,3,99,308,65,78,589,3240,43,150,Cool
Quick Ponytail,3,Hair,,4,120,373,79,95,713,5290,70,250,Cool
Quick Ponytail,3,Hair,,5,143,446,94,113,853,7720,102,370,Cool
Nostalgic Blossom,3,Hair,,0,152,311,53,32,51,0,0,0,Fresh
Nostalgic Blossom,3,Hair,,1,190,389,67,40,64,540,7,25,Fresh
Nostalgic Blossom,3,Hair,,2,236,483,83,50,80,1620,21,75,Fresh
Nostalgic Blossom,3,Hair,,3,289,591,101,61,97,3240,43,150,Fresh
Nostalgic Blossom,3,Hair,,4,350,716,122,74,118,5290,70,250,Fresh
Nostalgic Blossom,3,Hair,,5,418,856,146,88,141,7720,102,370,Fresh
Corridor of Time,3,Hair,A Beautiful Day,0,327,51,157,34,32,0,0,0,Elegant
Corridor of Time,3,Hair,A Beautiful Day,1,409,64,197,43,40,540,7,25,Elegant
Corridor of Time,3,Hair,A Beautiful Day,2,507,80,244,53,50,1620,21,75,Elegant
Corridor of Time,3,Hair,A Beautiful Day,3,622,0,299,65,61,3240,43,150,Elegant
Corridor of Time,3,Hair,A Beautiful Day,4,753,118,362,79,74,5290,70,250,Elegant
Corridor of Time,3,Hair,A Beautiful Day,5,900,141,432,94,88,7720,102,370,Elegant
Pink Star Wish,3,Hair,Searching for Dreams,0,46,41,154,305,53,0,0,0,Sexy
Pink Star Wish,3,Hair,Searching for Dreams,1,58,52,193,382,67,540,7,25,Sexy
Pink Star Wish,3,Hair,Searching for Dreams,2,72,64,239,473,83,1620,21,75,Sexy
Pink Star Wish,3,Hair,Searching for Dreams,3,88,78,293,580,101,3240,43,150,Sexy
Pink Star Wish,3,Hair,Searching for Dreams,4,106,95,355,702,122,5290,70,250,Sexy
Pink Star Wish,3,Hair,Searching for Dreams,5,127,113,424,839,146,7720,102,370,Sexy
Relaxed Workflow,3,Hair,Refined Grace,0,54,45,69,43,389,0,0,0,Cool
Relaxed Workflow,3,Hair,Refined Grace,1,68,57,87,54,487,540,7,25,Cool
Relaxed Workflow,3,Hair,Refined Grace,2,84,70,107,67,603,1620,21,75,Cool
Relaxed Workflow,3,Hair,Refined Grace,3,103,86,132,82,740,3240,43,150,Cool
Relaxed Workflow,3,Hair,Refined Grace,4,125,104,159,99,895,5290,70,250,Cool
Relaxed Workflow,3,Hair,Refined Grace,5,149,124,190,119,1070,7720,102,370,Cool
Dawn's Radiance,3,Hair,Carnival Ode,0,45,47,42,154,312,0,0,0,Cool
Dawn's Radiance,3,Hair,Carnival Ode,1,57,59,53,193,390,540,7,25,Cool
Dawn's Radiance,3,Hair,Carnival Ode,2,70,73,66,239,484,1620,21,75,Cool
Dawn's Radiance,3,Hair,Carnival Ode,3,86,90,80,293,593,3240,43,150,Cool
Dawn's Radiance,3,Hair,Carnival Ode,4,104,109,0,355,718,5290,70,250,Cool
Dawn's Radiance,3,Hair,Carnival Ode,5,124,130,116,424,858,7720,102,370,Cool
Morning Sunlight,5,Hair,Fairytale Swan,0,0,49,76,261,83,0,0,0,Sexy
Morning Sunlight,5,Hair,Fairytale Swan,1,689,62,95,327,104,2700,36,80,Elegant
Morning Sunlight,5,Hair,Fairytale Swan,2,855,76,118,405,129,8100,108,240,Elegant
Morning Sunlight,5,Hair,Fairytale Swan,3,1047,94,145,496,158,16200,216,480,Elegant
Morning Sunlight,5,Hair,Fairytale Swan,4,1268,113,175,601,191,26460,353,800,Elegant
Morning Sunlight,5,Hair,Fairytale Swan,5,1516,135,209,718,229,38610,515,1184,Elegant
Blooming Pact,5,Hair,Blossoming Stars,0,273,521,77,86,65,0,0,0,Fresh
Blooming Pact,5,Hair,Blossoming Stars,1,342,652,0,108,82,2700,36,80,Fresh
Blooming Pact,5,Hair,Blossoming Stars,2,424,808,120,134,101,8100,108,240,Fresh
Blooming Pact,5,Hair,Blossoming Stars,3,519,990,147,164,124,16200,216,480,Fresh
Blooming Pact,5,Hair,Blossoming Stars,4,628,1199,178,198,150,26460,353,800,Fresh
Blooming Pact,5,Hair,Blossoming Stars,5,751,1433,212,237,179,38610,515,1184,Fresh
Fluttermist Isle,5,Hair,Flutter Storm,0,256,86,86,524,68,0,0,0,Sexy
Fluttermist Isle,5,Hair,Flutter Storm,1,320,108,108,655,0,2700,36,80,Sexy
Fluttermist Isle,5,Hair,Flutter Storm,2,397,134,134,813,106,8100,108,240,Sexy
Fluttermist Isle,5,Hair,Flutter Storm,3,487,164,164,996,130,16200,216,480,Sexy
Fluttermist Isle,5,Hair,Flutter Storm,4,589,198,198,1206,157,26460,353,800,Sexy
Fluttermist Isle,5,Hair,Flutter Storm,5,704,237,237,1441,187,38610,515,1184,Sexy
Vibrant Spirit,2,Hair,Guard's Resolve,0,34,162,57,44,304,0,0,0,Cool
Vibrant Spirit,2,Hair,Guard's Resolve,1,43,203,72,55,380,320,4,15,Cool
Vibrant Spirit,2,Hair,Guard's Resolve,2,53,252,89,69,472,970,13,45,Cool
Vibrant Spirit,2,Hair,Guard's Resolve,3,65,308,109,84,578,1940,26,90,Cool
Vibrant Spirit,2,Hair,Guard's Resolve,4,79,373,132,102,700,3170,42,150,Cool
Vibrant Spirit,2,Hair,Guard's Resolve,5,94,446,157,121,836,4630,61,222,Cool
Mature Short Hair,4,Hair,,0,39,73,215,427,55,0,0,0,Sexy
Mature Short Hair,4,Hair,,1,49,92,269,534,69,1620,22,50,Sexy
Mature Short Hair,4,Hair,,2,61,4,334,662,86,4860,65,150,Sexy
Mature Short Hair,4,Hair,,3,75,139,409,812,105,9720,130,300,Sexy
Mature Short Hair,4,Hair,,4,90,168,495,983,127,15880,212,500,Sexy
Mature Short Hair,4,Hair,,5,108,201,592,1175,152,23170,309,740,Sexy
Misty Clouds,3,Hair,,0,313,34,156,45,53,0,0,0,Elegant
Misty Clouds,3,Hair,,1,392,43,195,57,67,540,7,25,Elegant
Misty Clouds,3,Hair,,2,486,53,242,70,83,1620,21,75,Elegant
Misty Clouds,3,Hair,,3,595,65,297,86,101,3240,43,150,Elegant
Misty Clouds,3,Hair,,4,720,79,359,104,122,5290,70,250,Elegant
Misty Clouds,3,Hair,,5,861,94,429,124,146,7720,102,370,Elegant
Peachy Puffs,3,Hair,,0,46,163,310,29,52,0,0,0,Sweet
Peachy Puffs,3,Hair,,1,58,204,388,37,65,540,7,25,Sweet
Peachy Puffs,3,Hair,,2,72,253,481,45,81,1620,21,75,Sweet
Peachy Puffs,3,Hair,,3,88,310,589,56,99,3240,43,150,Sweet
Peachy Puffs,3,Hair,,4,106,375,713,67,120,5290,70,250,Sweet
Peachy Puffs,3,Hair,,5,127,449,853,80,143,7720,102,370,Sweet
Mini Fishball,3,Hair,,0,37,322,44,30,168,0,0,0,Fresh
Mini Fishball,3,Hair,,1,47,403,55,38,210,540,7,25,Fresh
Mini Fishball,3,Hair,,2,58,500,69,47,261,1620,21,75,Fresh
Mini Fishball,3,Hair,,3,71,612,84,57,320,3240,43,150,Fresh
Mini Fishball,3,Hair,,4,86,0,102,69,387,5290,70,250,Cool
Mini Fishball,3,Hair,,5,102,886,121,83,462,7720,102,370,Fresh
An Easy Start,3,Hair,,0,50,48,62,60,380,0,0,0,Cool
An Easy Start,3,Hair,,1,63,60,78,75,475,540,7,25,Cool
An Easy Start,3,Hair,,2,78,75,0,93,589,1620,21,75,Cool
An Easy Start,3,Hair,,3,95,92,118,4,722,3240,43,150,Cool
An Easy Start,3,Hair,,4,0,0,143,138,874,5290,70,250,Cool
An Easy Start,3,Hair,,5,138,132,171,165,1045,7720,102,370,Cool
Sunset Dance,2,Hair,,0,30,23,27,236,44,0,0,0,Sexy
Sunset Dance,2,Hair,,1,38,29,34,295,55,320,4,15,Sexy
Sunset Dance,2,Hair,,2,47,36,42,366,69,970,13,45,Sexy
Sunset Dance,2,Hair,,3,57,44,52,449,84,1940,26,90,Sexy
Sunset Dance,2,Hair,,4,69,53,63,543,102,3170,42,150,Sexy
Sunset Dance,2,Hair,,5,83,64,75,649,121,4630,61,222,Sexy
Silverplume,2,Hair,,0,20,194,20,28,98,0,0,0,Fresh
Silverplume,2,Hair,,1,25,243,25,35,123,320,4,15,Fresh
Silverplume,2,Hair,,2,31,301,31,44,152,970,13,45,Fresh
Silverplume,2,Hair,,3,38,369,38,54,187,1940,26,90,Fresh
Silverplume,2,Hair,,4,46,447,46,65,226,3170,42,150,Fresh
Silverplume,2,Hair,,5,55,534,55,77,270,4630,61,222,Fresh
Autumn's Melody,3,Hair,,0,53,45,399,40,64,0,0,0,Sweet
Autumn's Melody,3,Hair,,1,67,57,499,50,80,540,7,25,Sweet
Autumn's Melody,3,Hair,,2,83,70,619,62,100,1620,21,75,Sweet
Autumn's Melody,3,Hair,,3,101,86,759,76,122,3240,43,150,Sweet
Autumn's Melody,3,Hair,,4,122,104,918,92,148,5290,70,250,Sweet
Autumn's Melody,3,Hair,,5,146,124,1098,110,176,7720,102,370,Sweet
Ten-Second Bun,2,Hair,,0,31,24,192,20,93,0,0,0,Sweet
Ten-Second Bun,2,Hair,,1,39,30,240,25,117,320,4,15,Sweet
Ten-Second Bun,2,Hair,,2,49,38,298,31,145,970,13,45,Sweet
Ten-Second Bun,2,Hair,,3,59,46,365,38,177,1940,26,90,Sweet
Ten-Second Bun,2,Hair,,4,72,56,442,46,214,3170,42,150,Sweet
Ten-Second Bun,2,Hair,,5,86,66,528,55,256,4630,61,222,Sweet
Straight-A Student,2,Hair,,0,193,94,21,32,20,0,0,0,Elegant
Straight-A Student,2,Hair,,1,242,118,27,40,25,320,4,15,Elegant
Straight-A Student,2,Hair,,2,300,146,33,50,31,970,13,45,Elegant
Straight-A Student,2,Hair,,3,367,179,40,61,38,1940,26,90,Elegant
Straight-A Student,2,Hair,,4,444,217,49,74,46,3170,42,150,Elegant
Straight-A Student,2,Hair,,5,531,259,58,88,55,4630,61,222,Elegant
Azure Sand,3,Hair,,0,49,311,154,43,43,0,0,0,Fresh
Azure Sand,3,Hair,,1,62,389,193,54,54,540,7,25,Fresh
Azure Sand,3,Hair,,2,76,483,239,67,67,1620,21,75,Fresh
Azure Sand,3,Hair,,3,94,591,293,82,82,3240,43,150,Fresh
Azure Sand,3,Hair,,4,113,716,355,99,99,5290,70,250,Fresh
Azure Sand,3,Hair,,5,135,856,424,119,119,7720,102,370,Fresh
Five More Minutes,3,Hair,,0,39,163,317,42,38,0,0,0,Sweet
Five More Minutes,3,Hair,,1,49,204,397,53,48,540,7,25,Sweet
Five More Minutes,3,Hair,,2,61,253,492,66,59,1620,21,75,Sweet
Five More Minutes,3,Hair,,3,75,310,603,80,73,3240,43,150,Sweet
Five More Minutes,3,Hair,,4,90,375,730,0,88,5290,70,250,Sweet
Five More Minutes,3,Hair,,5,108,449,872,116,105,7720,102,370,Sweet
Thousand Symphonies,3,Hair,Symphony of Strings,0,183,50,347,46,35,0,0,0,Sweet
Thousand Symphonies,3,Hair,Symphony of Strings,1,229,63,434,58,44,540,7,25,Sweet
Thousand Symphonies,3,Hair,Symphony of Strings,2,284,78,538,72,55,1620,21,75,Sweet
Thousand Symphonies,3,Hair,Symphony of Strings,3,348,95,660,88,67,3240,43,150,Sweet
Thousand Symphonies,3,Hair,Symphony of Strings,4,421,115,799,106,81,5290,70,250,Sweet
Thousand Symphonies,3,Hair,Symphony of Strings,5,504,138,955,127,97,7720,102,370,Sweet
Distant Memory,4,Hair,Floral Memory,0,181,343,47,47,43,0,0,0,Fresh
Distant Memory,4,Hair,Floral Memory,1,227,429,59,59,54,1620,22,50,Fresh
Distant Memory,4,Hair,Floral Memory,2,281,532,73,73,67,4860,65,150,Fresh
Distant Memory,4,Hair,Floral Memory,3,344,652,90,90,82,9720,130,300,Fresh
Distant Memory,4,Hair,Floral Memory,4,417,789,109,109,99,15880,212,500,Fresh
Distant Memory,4,Hair,Floral Memory,5,498,944,130,130,119,23170,309,740,Fresh
Windswept Wheat,4,Hair,Hometown Breeze,0,59,402,209,64,77,0,0,0,Fresh
Windswept Wheat,4,Hair,Hometown Breeze,1,74,503,262,80,0,1620,22,50,Fresh
Windswept Wheat,4,Hair,Hometown Breeze,2,92,624,324,100,120,4860,65,150,Fresh
Windswept Wheat,4,Hair,Hometown Breeze,3,113,764,398,122,147,9720,130,300,Fresh
Windswept Wheat,4,Hair,Hometown Breeze,4,136,925,481,148,178,15880,212,500,Fresh
Windswept Wheat,4,Hair,Hometown Breeze,5,163,1106,575,176,212,23170,309,740,Fresh
Tomorrow's Vows,4,Hair,Rebirth Wish,0,215,50,426,78,40,0,0,0,Sweet
Tomorrow's Vows,4,Hair,Rebirth Wish,1,269,63,533,98,50,1620,22,50,Sweet
Tomorrow's Vows,4,Hair,Rebirth Wish,2,334,78,661,121,62,4860,65,150,Sweet
Tomorrow's Vows,4,Hair,Rebirth Wish,3,409,95,810,149,76,9720,130,300,Sweet
Tomorrow's Vows,4,Hair,Rebirth Wish,4,495,0,980,180,92,15880,212,500,Sweet
Tomorrow's Vows,4,Hair,Rebirth Wish,5,592,138,0,215,110,23170,309,740,Elegant
Painting Blossoms,4,Hair,Flowing Colors,0,73,425,224,45,44,0,0,0,Fresh
Painting Blossoms,4,Hair,Flowing Colors,1,92,532,280,57,55,1620,22,50,Fresh
Painting Blossoms,4,Hair,Flowing Colors,2,4,659,348,70,69,4860,65,150,Fresh
Painting Blossoms,4,Hair,Flowing Colors,3,139,808,426,86,84,9720,130,300,Fresh
Painting Blossoms,4,Hair,Flowing Colors,4,168,978,516,104,102,15880,212,500,Fresh
Painting Blossoms,4,Hair,Flowing Colors,5,201,1169,616,124,121,23170,309,740,Fresh
Dancing Waves,4,Hair,,0,43,205,77,74,41,0,0,0,Fresh
Dancing Waves,4,Hair,,1,54,257,0,93,514,1620,22,50,Cool
Dancing Waves,4,Hair,,2,67,318,120,115,638,4860,65,150,Cool
Dancing Waves,4,Hair,,3,82,390,147,141,781,9720,130,300,Cool
Dancing Waves,4,Hair,,4,99,472,178,171,946,15880,212,500,Cool
Dancing Waves,4,Hair,,5,19,564,212,204,1131,23170,309,740,Cool
Mellifluous Melody,4,Hair,Sweet Jazz Nights,0,211,54,433,50,61,0,0,0,Sweet
Mellifluous Melody,4,Hair,Sweet Jazz Nights,1,264,68,542,63,77,1620,22,50,Sweet
Mellifluous Melody,4,Hair,Sweet Jazz Nights,2,328,84,672,78,95,4860,65,150,Sweet
Mellifluous Melody,4,Hair,Sweet Jazz Nights,3,401,103,823,95,116,9720,130,300,Sweet
Mellifluous Melody,4,Hair,Sweet Jazz Nights,4,486,125,996,115,141,15880,212,500,Sweet
Mellifluous Melody,4,Hair,Sweet Jazz Nights,5,581,149,1191,138,168,23170,309,740,Sweet
Troubleshooter,4,Hair,Fully Charged,0,45,172,58,44,340,0,0,0,Cool
Troubleshooter,4,Hair,Fully Charged,1,57,215,73,55,425,1620,22,50,Cool
Troubleshooter,4,Hair,Fully Charged,2,70,267,90,69,527,4860,65,150,Cool
Troubleshooter,4,Hair,Fully Charged,3,86,327,0,84,646,9720,130,300,Cool
Troubleshooter,4,Hair,Fully Charged,4,104,396,134,102,782,15880,212,500,Cool
Troubleshooter,4,Hair,Fully Charged,5,124,473,160,121,935,23170,309,740,Cool
Rippling Waves,4,Hair,Rippling Serenity,0,37,46,163,64,350,0,0,0,Cool
Rippling Waves,4,Hair,Rippling Serenity,1,47,58,204,80,438,1620,22,50,Cool
Rippling Waves,4,Hair,Rippling Serenity,2,58,72,253,100,543,4860,65,150,Cool
Rippling Waves,4,Hair,Rippling Serenity,3,71,88,310,122,665,9720,130,300,Cool
Rippling Waves,4,Hair,Rippling Serenity,4,86,106,375,148,805,15880,212,500,Cool
Rippling Waves,4,Hair,Rippling Serenity,5,102,127,449,176,963,23170,309,740,Cool
Clear Vision,3,Hair,Afternoon Shine,0,36,33,362,45,184,0,0,0,Sweet
Clear Vision,3,Hair,Afternoon Shine,1,45,42,453,57,230,540,7,25,Sweet
Clear Vision,3,Hair,Afternoon Shine,2,56,52,562,70,286,1620,21,75,Sweet
Clear Vision,3,Hair,Afternoon Shine,3,69,63,688,86,350,3240,43,150,Sweet
Clear Vision,3,Hair,Afternoon Shine,4,83,76,833,104,424,5290,70,250,Sweet
Clear Vision,3,Hair,Afternoon Shine,5,99,91,996,124,506,7720,102,370,Sweet
Friendly Impression,4,Hair,Bye-Bye Dust,0,170,57,338,52,43,0,0,0,Sweet
Friendly Impression,4,Hair,Bye-Bye Dust,1,213,72,423,65,54,1620,22,50,Sweet
Friendly Impression,4,Hair,Bye-Bye Dust,2,264,89,524,81,67,4860,65,150,Sweet
Friendly Impression,4,Hair,Bye-Bye Dust,3,323,109,643,99,82,9720,130,300,Sweet
Friendly Impression,4,Hair,Bye-Bye Dust,4,391,132,778,120,99,15880,212,500,Sweet
Friendly Impression,4,Hair,Bye-Bye Dust,5,468,157,930,143,119,23170,309,740,Sweet
Spring Whispers,4,Hair,Wind of Purity,0,342,168,62,48,39,0,0,0,Elegant
Spring Whispers,4,Hair,Wind of Purity,1,428,210,78,60,49,1620,22,50,Elegant
Spring Whispers,4,Hair,Wind of Purity,2,531,261,0,75,61,4860,65,150,Elegant
Spring Whispers,4,Hair,Wind of Purity,3,650,320,118,92,75,9720,130,300,Elegant
Spring Whispers,4,Hair,Wind of Purity,4,787,387,143,0,90,15880,212,500,Elegant
Spring Whispers,4,Hair,Wind of Purity,5,941,462,171,132,108,23170,309,740,Elegant
Air Bubbles,4,Hair,Bubbly Voyage,0,37,179,350,53,42,0,0,0,Sweet
Air Bubbles,4,Hair,Bubbly Voyage,1,47,224,438,67,53,1620,22,50,Sweet
Air Bubbles,4,Hair,Bubbly Voyage,2,58,278,543,83,66,4860,65,150,Sweet
Air Bubbles,4,Hair,Bubbly Voyage,3,71,341,665,101,80,9720,130,300,Sweet
Air Bubbles,4,Hair,Bubbly Voyage,4,86,412,805,122,0,15880,212,500,Sweet
Air Bubbles,4,Hair,Bubbly Voyage,5,102,493,963,146,116,23170,309,740,Sweet
Born Pink,3,Hair,,0,39,157,316,53,36,0,0,0,Sweet
Born Pink,3,Hair,,1,49,197,395,67,45,540,7,25,Sweet
Born Pink,3,Hair,,2,61,244,490,83,56,1620,21,75,Sweet
Born Pink,3,Hair,,3,75,299,601,101,69,3240,43,150,Sweet
Born Pink,3,Hair,,4,90,362,727,122,83,5290,70,250,Sweet
Born Pink,3,Hair,,5,108,432,869,146,99,7720,102,370,Sweet
Pink 'n' Curly,3,Hair,,0,56,153,313,34,45,0,0,0,Sweet
Pink 'n' Curly,3,Hair,,1,70,192,392,43,57,540,7,25,Sweet
Pink 'n' Curly,3,Hair,,2,87,238,486,53,70,1620,21,75,Sweet
Pink 'n' Curly,3,Hair,,3,107,291,595,65,86,3240,43,150,Sweet
Pink 'n' Curly,3,Hair,,4,129,352,720,79,104,5290,70,250,Sweet
Pink 'n' Curly,3,Hair,,5,154,421,861,94,124,7720,102,370,Sweet
Crochet Butterfly,3,Hair Accessory,,0,8,42,81,9,10,0,0,0,Sweet
Crochet Butterfly,3,Hair Accessory,,1,10,53,102,12,13,140,2,6,Sweet
Crochet Butterfly,3,Hair Accessory,,2,13,66,126,14,16,410,6,18,Sweet
Crochet Butterfly,3,Hair Accessory,,3,16,80,154,18,19,820,11,36,Sweet
Crochet Butterfly,3,Hair Accessory,,4,19,0,187,21,23,1330,18,60,Sweet
Crochet Butterfly,3,Hair Accessory,,5,22,116,223,25,28,1940,26,88,Sweet
Knitted Butterflies,3,Hair Accessory,,0,10,10,83,40,8,0,0,0,Sweet
Knitted Butterflies,3,Hair Accessory,,1,13,13,104,50,10,140,2,6,Sweet
Knitted Butterflies,3,Hair Accessory,,2,16,16,129,62,13,410,6,18,Sweet
Knitted Butterflies,3,Hair Accessory,,3,19,19,158,76,16,820,11,36,Sweet
Knitted Butterflies,3,Hair Accessory,,4,23,23,191,92,19,1330,18,60,Sweet
Knitted Butterflies,3,Hair Accessory,,5,28,28,229,110,22,1940,26,88,Sweet
Gala Crystal,4,Hair Accessory,,0,102,19,0,52,12,0,0,0,Elegant
Gala Crystal,4,Hair Accessory,,1,128,24,22,65,15,410,5,12,Elegant
Gala Crystal,4,Hair Accessory,,2,159,30,27,81,19,1220,16,36,Elegant
Gala Crystal,4,Hair Accessory,,3,194,37,33,99,23,2440,32,72,Elegant
Gala Crystal,4,Hair Accessory,,4,235,44,40,120,28,3980,53,120,Elegant
Gala Crystal,4,Hair Accessory,,5,281,53,47,143,33,5800,77,177,Elegant
Woven Dreams,3,Hair Accessory,,0,39,77,9,12,14,0,0,0,Fresh
Woven Dreams,3,Hair Accessory,,1,49,0,0,15,18,140,2,6,Elegant
Woven Dreams,3,Hair Accessory,,2,61,120,14,19,22,410,6,18,Fresh
Woven Dreams,3,Hair Accessory,,3,75,147,18,23,27,820,11,36,Fresh
Woven Dreams,3,Hair Accessory,,4,90,178,21,28,33,1330,18,60,Fresh
Woven Dreams,3,Hair Accessory,,5,108,212,25,33,39,1940,26,88,Fresh
Rebounding Deep Breath,3,Hair Accessory,,0,14,7,39,13,77,0,0,0,Cool
Rebounding Deep Breath,3,Hair Accessory,,1,18,9,49,0,97,140,2,6,Cool
Rebounding Deep Breath,3,Hair Accessory,,2,22,0,61,21,120,410,6,18,Cool
Rebounding Deep Breath,3,Hair Accessory,,3,27,14,75,25,147,820,11,36,Cool
Rebounding Deep Breath,3,Hair Accessory,,4,33,0,90,30,178,1330,18,60,Cool
Rebounding Deep Breath,3,Hair Accessory,,5,39,20,108,36,212,1940,26,88,Cool
Sunny Windchime,3,Hair Accessory,,0,0,77,13,0,38,0,0,0,Fresh
Sunny Windchime,3,Hair Accessory,,1,14,0,0,14,48,140,2,6,Cool
Sunny Windchime,3,Hair Accessory,,2,18,120,21,18,59,410,6,18,Fresh
Sunny Windchime,3,Hair Accessory,,3,21,147,25,21,73,820,11,36,Fresh
Sunny Windchime,3,Hair Accessory,,4,26,178,30,26,88,1330,18,60,Fresh
Sunny Windchime,3,Hair Accessory,,5,31,212,36,31,105,1940,26,88,Fresh
Modern Trends,3,Hair Accessory,,0,14,15,95,9,18,0,0,0,Sweet
Modern Trends,3,Hair Accessory,,1,18,19,19,12,23,140,2,6,Cool
Modern Trends,3,Hair Accessory,,2,22,24,148,14,28,410,6,18,Sweet
Modern Trends,3,Hair Accessory,,3,27,29,181,18,35,820,11,36,Sweet
Modern Trends,3,Hair Accessory,,4,33,35,219,21,42,1330,18,60,Sweet
Modern Trends,3,Hair Accessory,,5,39,42,262,25,50,1940,26,88,Sweet
Floral Hoops,2,Hair Accessory,,0,49,5,25,5,6,0,0,0,Elegant
Floral Hoops,2,Hair Accessory,,1,62,7,32,7,8,80,1,3,Elegant
Floral Hoops,2,Hair Accessory,,2,76,8,39,8,10,240,3,10,Elegant
Floral Hoops,2,Hair Accessory,,3,94,10,48,10,12,480,6,20,Elegant
Floral Hoops,2,Hair Accessory,,4,13,0,58,12,14,790,10,34,Sweet
Floral Hoops,2,Hair Accessory,,5,135,14,69,14,7,1150,15,50,Elegant
Starry Hairband,2,Hair Accessory,,0,8,6,6,23,47,0,0,0,Cool
Starry Hairband,2,Hair Accessory,,1,10,8,8,29,59,80,1,3,Cool
Starry Hairband,2,Hair Accessory,,2,13,10,10,36,73,240,3,10,Cool
Starry Hairband,2,Hair Accessory,,3,16,0,0,44,90,480,6,20,Cool
Starry Hairband,2,Hair Accessory,,4,19,14,14,53,109,790,10,34,Cool
Starry Hairband,2,Hair Accessory,,5,22,0,0,64,130,1150,15,50,Cool
Wind's Caress,4,Hair Accessory,Floral Memory,0,43,87,13,12,10,0,0,0,Fresh
Wind's Caress,4,Hair Accessory,Floral Memory,1,54,109,0,15,13,410,5,12,Fresh
Wind's Caress,4,Hair Accessory,Floral Memory,2,67,135,21,19,16,1220,16,36,Fresh
Wind's Caress,4,Hair Accessory,Floral Memory,3,82,166,25,23,19,2440,32,72,Fresh
Wind's Caress,4,Hair Accessory,Floral Memory,4,99,201,30,28,23,3980,53,120,Fresh
